# estimated x; estimated y; actual x; actual y; error distance
-16.0;-9.25;-23.9;-9.65;7.910120100226037
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
23.0;3.5;-23.9;-9.65;48.70864912928709
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-19.0;-10.75;-23.0;-10.55;4.004996878900157
-16.0;-10.75;-19.65;-10.7;3.6503424496887944
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
-16.0;-10.75;-19.65;-10.7;3.6503424496887944
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
-16.0;-10.75;-19.65;-10.7;3.6503424496887944
-19.0;-10.75;-17.35;-11.2;1.7102631376487054
-16.0;-10.75;-17.35;-11.2;1.4230249470757717
-19.0;-10.75;-17.35;-11.2;1.7102631376487054
-8.5;-10.75;-17.35;-11.2;8.86143329264516
-13.0;-9.25;-17.35;-11.2;4.767074574621212
-13.0;-10.75;-15.5;-9.6;2.7518175811634027
-8.5;-10.75;-15.5;-9.6;7.093835351909431
-16.0;-10.75;-15.5;-9.6;1.2539936203984456
-14.5;-10.75;-15.5;-9.6;1.5239750654128172
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-11.5;-10.75;-10.55;-9.9;1.2747548783981955
-13.0;-9.25;-10.55;-9.9;2.5347583711273147
-5.5;-9.25;-10.55;-9.9;5.091659847240388
-7.0;-10.75;-10.55;-9.9;3.6503424496887966
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-10.0;-9.25;-9.2;-10.75;1.7000000000000004
-10.0;-9.25;-9.2;-10.75;1.7000000000000004
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-10.0;-9.25;-9.2;-10.75;1.7000000000000004
-10.0;-9.25;-9.2;-10.75;1.7000000000000004
2.0;-15.25;-6.35;-10.2;9.75832977512033
-7.0;-10.75;-6.35;-10.2;0.8514693182963208
2.0;-15.25;-6.35;-10.2;9.75832977512033
-7.0;-10.75;-6.35;-10.2;0.8514693182963208
2.0;-15.25;-6.35;-10.2;9.75832977512033
-10.0;-9.25;-4.1;-9.9;5.935697094697471
-8.5;-9.25;-4.1;-9.9;4.447752241301218
23.0;3.5;-4.1;-9.9;30.23193675568934
2.0;-10.75;-4.1;-9.9;6.158936596523786
2.0;-10.75;-4.1;-9.9;6.158936596523786
32.0;5.0;-2.05;-11.1;37.66447264996551
23.0;3.5;-2.05;-11.1;28.994180450566283
-2.5;-10.75;-2.05;-11.1;0.5700877125495689
-2.5;-10.75;-2.05;-11.1;0.5700877125495689
-4.0;-10.75;-2.05;-11.1;1.981161275615895
21.5;5.0;-0.95;-9.95;26.972300606362815
29.0;3.5;-0.95;-9.95;32.83146356774245
-8.5;-9.25;-0.95;-9.95;7.582380892569299
-8.5;-9.25;-0.95;-9.95;7.582380892569299
23.0;3.5;-0.95;-9.95;27.46825440394784
21.5;5.0;0.85;-18.55;31.321318618474542
23.0;3.5;0.85;-18.55;31.254199717797928
21.5;5.0;0.85;-18.55;31.321318618474542
21.5;5.0;0.85;-18.55;31.321318618474542
23.0;3.5;0.85;-18.55;31.254199717797928
21.5;5.0;1.15;-15.15;28.638173824460246
23.0;3.5;1.15;-15.15;28.727077818671358
2.0;-13.75;1.15;-15.15;1.6378339354159204
23.0;3.5;1.15;-15.15;28.727077818671358
23.0;3.5;1.15;-15.15;28.727077818671358
-1.0;-9.25;0.75;-13.05;4.18359892915179
-2.5;-9.25;0.75;-13.05;5.000249993750313
2.0;-18.25;0.75;-13.05;5.348130514488216
23.0;3.5;0.75;-13.05;27.730218174403173
-2.5;-9.25;0.75;-13.05;5.000249993750313
23.0;3.5;1.55;-11.95;26.434920086885075
21.5;6.5;1.55;-11.95;27.173608520032815
21.5;6.5;1.55;-11.95;27.173608520032815
21.5;6.5;1.55;-11.95;27.173608520032815
23.0;3.5;1.55;-11.95;26.434920086885075
21.5;6.5;1.2;-9.05;25.571321827390936
21.5;5.0;1.2;-9.05;24.68790189546289
2.0;-18.25;1.2;-9.05;9.234717104492155
21.5;5.0;1.2;-9.05;24.68790189546289
21.5;5.0;1.2;-9.05;24.68790189546289
29.0;3.5;1.65;-6.3;29.052753742115392
23.0;3.5;1.65;-6.3;23.49175387236977
23.0;3.5;1.65;-6.3;23.49175387236977
23.0;3.5;1.65;-6.3;23.49175387236977
29.0;3.5;1.65;-6.3;29.052753742115392
21.5;6.5;1.2;-3.7;22.718494668441394
21.5;6.5;1.2;-3.7;22.718494668441394
21.5;6.5;1.2;-3.7;22.718494668441394
24.5;6.5;1.2;-3.7;25.434818654749634
23.0;3.5;1.2;-3.7;22.958222927744213
21.5;6.5;1.85;-2.25;21.510113900209824
21.5;6.5;1.85;-2.25;21.510113900209824
23.0;6.5;1.85;-2.25;22.888534247522273
21.5;6.5;1.85;-2.25;21.510113900209824
21.5;6.5;1.85;-2.25;21.510113900209824
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;12.5;1.71;1.81;10.758261941410424
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;6.5;2.02;7.45;0.950210502993942
2.0;6.5;2.49;7.6;1.2042009799032716
0.5;11.0;2.49;7.6;3.9395558125250623
2.0;5.0;2.49;7.6;2.6457702092207476
29.0;3.5;2.49;7.6;26.82517660706076
3.5;8.0;2.49;7.6;1.0863240768757727
0.5;8.0;1.52;9.32;1.6681726529349414
2.0;12.5;1.52;9.32;3.216022387981775
2.0;6.5;1.52;9.32;2.8605593858544522
0.5;8.0;1.52;9.32;1.6681726529349414
2.0;6.5;1.52;9.32;2.8605593858544522
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
2.0;12.5;0.78;10.94;1.9804039991880449
2.0;6.5;1.39;6.61;0.6198386886924695
2.0;6.5;1.39;6.61;0.6198386886924695
23.0;5.0;1.39;6.61;21.669891554874013
2.0;8.0;1.39;6.61;1.5179591562357662
0.5;6.5;1.39;6.61;0.8967719888578144
9.5;5.0;4.51;7.63;5.640655990219577
9.5;5.0;4.51;7.63;5.640655990219577
6.5;8.0;4.51;7.63;2.024104740372889
9.5;5.0;4.51;7.63;5.640655990219577
9.5;5.0;4.51;7.63;5.640655990219577
9.5;5.0;6.0;7.88;4.532593076815963
9.5;5.0;6.0;7.88;4.532593076815963
9.5;5.0;6.0;7.88;4.532593076815963
12.5;6.5;6.0;7.88;6.644877726489781
12.5;6.5;6.0;7.88;6.644877726489781
5.0;3.5;9.08;7.24;5.5347990026739
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
12.5;5.0;9.08;7.24;4.088275920238261
12.5;5.0;10.62;3.87;2.1934675744127157
6.5;3.5;10.62;3.87;4.13658071358459
9.5;3.5;10.62;3.87;1.1795338062132845
11.0;3.5;10.62;3.87;0.5303772242470454
12.5;5.0;10.62;3.87;2.1934675744127157
9.5;5.0;10.99;7.19;2.648811054039152
12.5;5.0;10.99;7.19;2.660112779564055
6.5;3.5;10.99;7.19;5.81172951882656
15.5;8.0;10.99;7.19;4.582161062206347
9.5;5.0;10.99;7.19;2.648811054039152
9.5;5.0;11.76;7.76;3.5672398293358407
9.5;5.0;11.76;7.76;3.5672398293358407
14.0;8.0;11.76;7.76;2.252820454452596
9.5;5.0;11.76;7.76;3.5672398293358407
12.5;6.5;11.76;7.76;1.4612323566086263
9.5;5.0;11.39;5.0;1.8900000000000006
9.5;5.0;11.39;5.0;1.8900000000000006
9.5;5.0;11.39;5.0;1.8900000000000006
9.5;5.0;11.39;5.0;1.8900000000000006
11.0;3.5;11.39;5.0;1.549870962370739
12.5;8.0;12.95;5.25;2.7865749586185546
9.5;5.0;12.95;5.25;3.459046111285595
9.5;5.0;12.95;5.25;3.459046111285595
9.5;5.0;12.95;5.25;3.459046111285595
9.5;5.0;12.95;5.25;3.459046111285595
11.0;5.0;13.46;7.85;3.7648505946451585
15.5;8.0;13.46;7.85;2.0455072720476934
12.5;8.0;13.46;7.85;0.9716480844420997
12.5;8.0;13.46;7.85;0.9716480844420997
12.5;8.0;13.46;7.85;0.9716480844420997
12.5;5.0;14.98;7.55;3.557091508522096
15.5;8.0;14.98;7.55;0.6876772498781675
14.0;3.5;14.98;7.55;4.166881327803805
15.5;8.0;14.98;7.55;0.6876772498781675
12.5;8.0;14.98;7.55;2.5204959829366924
24.5;6.5;21.45;6.62;3.0523597428874605
2.0;12.5;21.45;6.62;20.31937252968211
23.0;6.5;21.45;6.62;1.5546382215808288
24.5;6.5;21.45;6.62;3.0523597428874605
-2.5;-9.25;21.45;6.62;28.730809247217522
17.0;3.5;21.84;5.16;5.116756785308444
24.5;6.5;21.84;5.16;2.978455975837145
24.5;6.5;21.84;5.16;2.978455975837145
17.0;3.5;21.84;5.16;5.116756785308444
24.5;6.5;21.84;5.16;2.978455975837145
24.5;6.5;22.38;3.94;3.3238531856867573
17.0;8.0;22.38;3.94;6.740029673525184
0.5;-12.25;22.38;3.94;27.21856902924913
2.0;-6.25;22.38;3.94;22.785532690722857
21.5;3.5;22.38;3.94;0.9838699100999065
23.0;6.5;22.3;6.36;0.7138627319029891
21.5;3.5;22.3;6.36;2.969781136716981
24.5;6.5;22.3;6.36;2.204450044795753
24.5;6.5;22.3;6.36;2.204450044795753
23.0;6.5;22.3;6.36;0.7138627319029891
-2.5;-9.25;28.12;7.57;34.93560934061406
26.0;8.0;28.12;7.57;2.1631689716709612
-2.5;-9.25;28.12;7.57;34.93560934061406
26.0;8.0;28.12;7.57;2.1631689716709612
26.0;8.0;28.12;7.57;2.1631689716709612
-2.5;-9.25;31.78;7.62;38.206220697682205
0.5;-12.25;31.78;7.62;37.05745943801329
-2.5;-9.25;31.78;7.62;38.206220697682205
0.5;-12.25;31.78;7.62;37.05745943801329
0.5;-12.25;31.78;7.62;37.05745943801329
0.5;-12.25;32.16;7.08;37.09453463786814
2.0;-12.25;32.16;7.08;35.82282093861397
0.5;-12.25;32.16;7.08;37.09453463786814
32.0;8.0;32.16;7.08;0.9338094023942995
-2.5;-9.25;32.16;7.08;38.314285847448595
32.0;6.5;32.68;3.48;3.0956097945316037
32.0;6.5;32.68;3.48;3.0956097945316037
0.5;-12.25;32.68;3.48;35.81878417813759
-2.5;-9.25;32.68;3.48;37.41236827574539
-2.5;-9.25;32.68;3.48;37.41236827574539
24.5;5.0;23.5;4.22;1.2682271089990154
26.0;8.0;23.5;4.22;4.531931155699522
24.5;6.5;23.5;4.22;2.48965861113527
26.0;6.5;23.5;4.22;3.3835484332280514
21.5;3.5;23.5;4.22;2.1256528408938276
23.0;6.5;25.23;7.78;2.5712448347055563
23.0;5.0;25.23;7.78;3.56388832597207
0.5;-12.25;25.23;7.78;31.824107214500142
23.0;5.0;25.23;7.78;3.56388832597207
0.5;-12.25;25.23;7.78;31.824107214500142
